Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1990-03-01,0.034457265761502535,0.15277593125368474,0.4021934648715578,-1
1990-04-01,0.038036824613559936,0.15361100805717579,0.3958002501190976,-1
1990-05-01,0.042238123115801565,0.16189438704438847,0.4054292939292795,-1
1990-06-01,0.043707191383714164,0.15822260698307428,0.3985067347050055,-1
1990-07-01,0.07334628963160365,0.1902768523894619,0.4261556427161902,-1
1990-08-01,0.16136472566753604,0.26599522839122774,0.4811751379507455,100
1990-09-01,0.285785525659486,0.36435658818729283,0.5493177018877077,100
1990-10-01,0.3872207410027232,0.45665750145665107,0.6157963667547355,100
1990-11-01,0.4580938798158495,0.5277951356177509,0.6687744377078835,100
1990-12-01,0.5022796510485532,0.5809472690984665,0.7094961367087089,100
1991-01-01,0.45160854162214453,0.5542058924012907,0.7007630132398892,100
1991-02-01,0.37265529391552965,0.47574627267535696,0.6407272391517513,100
1991-03-01,0.3111388145586245,0.4015235597598949,0.5671297508365776,100
1991-04-01,0.25954689405008124,0.3381623227499078,0.5026977917108294,-1
1991-05-01,0.2272410867694194,0.28810622471246783,0.44595039860792324,-1
1991-06-01,0.1957125919102312,0.24375332890844542,0.39286725841201475,-1
1991-07-01,0.16117757985772288,0.20535428974888448,0.34955847962644004,-1
1991-08-01,0.12948365347336424,0.16972504145063244,0.30817193051526504,-1
1991-09-01,0.10392640950029523,0.13928034696789696,0.26694444393283734,-1
1991-10-01,0.08386917456578838,0.11497792173343199,0.23237604164563758,-1
1991-11-01,0.06926003857736902,0.0971217424627859,0.20652256696165264,-1
1991-12-01,0.05701865056344636,0.08246375034473025,0.18654272604610284,-1
1992-01-01,0.04858229626222738,0.07254778288173536,0.17380596157105932,-1
1992-02-01,0.0446437067975641,0.06700213193945459,0.16713220827155698,-1
1992-03-01,0.04367387438313527,0.0662579099002243,0.17265869779824777,-1
1992-04-01,0.04144528425519984,0.06393974125698407,0.17281776110898917,-1
1992-05-01,0.0429046730880734,0.06431725574943188,0.17740171351076386,-1
1992-06-01,0.03975186546214743,0.062019529125250855,0.1765545757459379,-1
1992-07-01,0.037316412027433445,0.05909383868685393,0.17181886661344287,-1
1992-08-01,0.0422311989287227,0.0594458323396979,0.17034999479848625,-1
1992-09-01,0.04296114139941541,0.05884108824015246,0.16792981199405135,-1
1992-10-01,0.04479953850060238,0.05903112505645842,0.1684331658572103,-1
1992-11-01,0.04075778598469833,0.05625334535180805,0.16538456583710218,-1
1992-12-01,0.04270176049624975,0.060384073602876016,0.17690833405160317,-1
1993-01-01,0.036638828081472924,0.053695076622375396,0.15611093424339648,-1
1993-02-01,0.03099929373508277,0.047360916239145574,0.13836742010590208,-1
1993-03-01,0.02611662061418866,0.04117637000739768,0.12215269268440623,-1
1993-04-01,0.025015061814921663,0.03968862156488631,0.1148184655096241,-1
1993-05-01,0.02337701512686067,0.037907230585820274,0.1083024192172838,-1
1993-06-01,0.021613458972097394,0.03611534285826822,0.10279429315175542,-1
1993-07-01,0.02002251518704681,0.034639882489022424,0.09935849724181284,-1
1993-08-01,0.017440410816009416,0.03243905319300305,0.09712244737468169,-1
1993-09-01,0.016222133240904664,0.03224418190672315,0.09838238545945863,-1
1993-10-01,0.014994484589576654,0.03188346197312289,0.1000301329317117,-1
1993-11-01,0.015791099283066736,0.03462869724885638,0.10681215460830978,-1
1993-12-01,0.015556472852396985,0.03559973547413431,0.1101504346424488,-1
1994-01-01,0.014337354145570039,0.03479673348822579,0.11059670043871593,-1
1994-02-01,0.01420447476763011,0.036052732240492366,0.11486346301950973,-1
1994-03-01,0.015814146183806676,0.04065703820376423,0.12488565369708368,-1
1994-04-01,0.015577058455849634,0.04332244702635308,0.13323494645139866,-1
1994-05-01,0.01493621477132211,0.0458820567681687,0.14180079400104728,-1
1994-06-01,0.01447130591567665,0.04926243807716679,0.15671739182134936,-1
1994-07-01,0.014218632276512893,0.05352193434932445,0.17394059482379942,-1
1994-08-01,0.01426156367638977,0.05884362160438862,0.19245671052440527,-1
1994-09-01,0.016349290345042684,0.07425487555569898,0.2316149557341965,-1
1994-10-01,0.01921650318192338,0.09575823265760039,0.278422033703824,-1
1994-11-01,0.02711250557536156,0.13090756048479674,0.33389875164109883,-1
1994-12-01,0.029522558297079463,0.14724606276521326,0.3681653518109246,-1
1995-01-01,0.0346314078603058,0.17050491321203087,0.41101432130879323,-1
1995-02-01,0.03332480862319888,0.17514983463768055,0.4375822482352314,-1
1995-03-01,0.03234814102741867,0.18835612182410771,0.4803887322493672,-1
1995-04-01,0.030486736598785643,0.1915203892388927,0.5070218230029223,-1
1995-05-01,0.028918339731603328,0.19048262539048672,0.5201366571239401,-1
1995-06-01,0.029358919999123788,0.19599773755917016,0.5354715415227899,-1
1995-07-01,0.03014447827663389,0.19765407129811108,0.5402172223531124,-1
1995-08-01,0.03231958876069141,0.19898067701292776,0.5384750029429629,-1
1995-09-01,0.027568099468936062,0.17266150912352896,0.49350678418993554,-1
1995-10-01,0.0244472319773531,0.1523157829780303,0.4529897520507985,-1
1995-11-01,0.02102258617736124,0.1323832949469802,0.40881274036253185,-1
1995-12-01,0.019157419723106778,0.11866826335841957,0.37561611247583043,-1
1996-01-01,0.017961378073454805,0.10760814481630458,0.34584404170290556,-1
1996-02-01,0.017816663247678076,0.1002569536291935,0.323029767516257,-1
1996-03-01,0.016861429213220494,0.09053917953881718,0.29447184939007115,-1
1996-04-01,0.015312610967712335,0.08105591125731611,0.27084944553824936,-1
1996-05-01,0.01374238140430311,0.07230756174263928,0.24932631962545923,-1
1996-06-01,0.013041606866750197,0.06840485438276149,0.24148284351091628,-1
1996-07-01,0.014549777910395092,0.07193461629205618,0.25085309552524526,-1
1996-08-01,0.014344165989121692,0.07086706621320599,0.2527808225213867,-1
1996-09-01,0.014378014639454883,0.06898437605533544,0.24912900297042617,-1
1996-10-01,0.014055536907089196,0.06790915418111088,0.24931846088353266,-1
1996-11-01,0.013732298266420574,0.06802115485023918,0.25452302973336643,-1
1996-12-01,0.015066781388780686,0.07382282677522883,0.2729394601233177,-1
1997-01-01,0.015346457895257995,0.07898644122023363,0.2923722154049355,-1
1997-02-01,0.016192338552366806,0.08629498660576722,0.31302989259056707,-1
1997-03-01,0.017426851820080788,0.0921686087203962,0.3285746919717495,-1
1997-04-01,0.015749578173059085,0.08570408978356872,0.3173206840833976,-1
1997-05-01,0.013560792004097627,0.07632666506774513,0.2952135186564889,-1
1997-06-01,0.011610900619643346,0.06711580329097469,0.27049776341289955,-1
1997-07-01,0.010024171172329094,0.059615912624125494,0.24929254396330022,-1
1997-08-01,0.008996340244730087,0.054821563345130137,0.23645027211605202,-1
1997-09-01,0.0087363819382157,0.05566582064201927,0.24250763334910536,-1
1997-10-01,0.00855335743116371,0.05509662082735071,0.24108972517121396,-1
1997-11-01,0.008997558605252948,0.05750803461975304,0.250816033189958,-1
1997-12-01,0.00856798071430722,0.05733008097821114,0.25758433263872627,-1
1998-01-01,0.009457306489467882,0.06137833021963182,0.2720739248889047,-1
1998-02-01,0.009577076044354482,0.06182665971676446,0.2733641660529263,-1
1998-03-01,0.009346926299627245,0.06220399195192427,0.27705418232813916,-1
1998-04-01,0.009625474242594311,0.06255069809456534,0.2745545837923864,-1
1998-05-01,0.01073700911570184,0.06311464970495739,0.2675907913554422,-1
1998-06-01,0.010888881380186845,0.062036015750975296,0.25983647739289467,-1
1998-07-01,0.013468779632668688,0.06728653269913573,0.26803758016092116,-1
